Data,Fechamento,Abertura,Máxima,Mínima
27.12.2018,"3.8735","3.9202","3.9456","3.8685"
26.12.2018,"3.9220","3.9040","3.9405","3.8918"
25.12.2018,"3.9040","3.9040","3.9040","3.9040"
24.12.2018,"3.9040","3.9040","3.9040","3.9040"
21.12.2018,"3.9040","3.8408","3.9071","3.8393"
20.12.2018,"3.8422","3.8971","3.8971","3.8327"
19.12.2018,"3.8977","3.9015","3.9138","3.8634"
18.12.2018,"3.9124","3.8970","3.9173","3.8836"
17.12.2018,"3.8995","3.9173","3.9285","3.8772"
14.12.2018,"3.9171","3.9113","3.9210","3.8877"
13.12.2018,"3.8911","3.8551","3.8974","3.8507"
12.12.2018,"3.8555","3.8936","3.8997","3.8362"
11.12.2018,"3.9040","3.9202","3.9226","3.8876"
10.12.2018,"3.9181","3.9076","3.9455","3.8914"
07.12.2018,"3.9075","3.8817","3.9239","3.8571"
06.12.2018,"3.8793","3.8910","3.9445","3.8733"
05.12.2018,"3.8686","3.8517","3.8832","3.8341"
04.12.2018,"3.8525","3.8290","3.8675","3.8177"
03.12.2018,"3.8423","3.8677","3.8677","3.8161"
30.11.2018,"3.8669","3.8496","3.8888","3.8380"
29.11.2018,"3.8527","3.8516","3.8752","3.8331"
28.11.2018,"3.8510","3.8790","3.8878","3.8317"
27.11.2018,"3.8752","3.9228","3.9241","3.8619"
26.11.2018,"3.9410","3.8184","3.9452","3.8171"
23.11.2018,"3.8283","3.8035","3.8306","3.7948"
22.11.2018,"3.8045","3.7904","3.8269","3.7902"
21.11.2018,"3.7976","3.7560","3.8034","3.7560"
20.11.2018,"3.7572","3.7563","3.7572","3.7563"
19.11.2018,"3.7570","3.7473","3.7736","3.7427"
16.11.2018,"3.7435","3.7723","3.7827","3.7296"
15.11.2018,"3.7843","3.7843","3.7843","3.7843"
14.11.2018,"3.7841","3.8032","3.8194","3.7661"
13.11.2018,"3.8032","3.7561","3.8313","3.7529"
12.11.2018,"3.7675","3.7487","3.7696","3.7361"
09.11.2018,"3.7335","3.7610","3.7750","3.7252"
08.11.2018,"3.7605","3.7297","3.7642","3.7158"
07.11.2018,"3.7318","3.7618","3.7874","3.7220"
06.11.2018,"3.7615","3.7270","3.7701","3.7237"
05.11.2018,"3.7262","3.6968","3.7326","3.6910"
02.11.2018,"3.6968","3.7039","3.7039","3.6963"
01.11.2018,"3.7012","3.7231","3.7241","3.6799"
31.10.2018,"3.7220","3.6969","3.7445","3.6854"
30.10.2018,"3.6974","3.7175","3.7359","3.6768"
29.10.2018,"3.7187","3.6437","3.7226","3.5819"
26.10.2018,"3.6429","3.7059","3.7302","3.6395"
25.10.2018,"3.7058","3.7361","3.7361","3.6818"
24.10.2018,"3.7350","3.6950","3.7475","3.6827"
23.10.2018,"3.6942","3.6883","3.7237","3.6856"
22.10.2018,"3.6860","3.6954","3.7214","3.6698"
19.10.2018,"3.7149","3.7220","3.7273","3.6875"
18.10.2018,"3.7216","3.6875","3.7313","3.6726"
17.10.2018,"3.6875","3.7242","3.7460","3.6640"
16.10.2018,"3.7252","3.7355","3.7363","3.6913"
15.10.2018,"3.7357","3.7561","3.7645","3.7125"
12.10.2018,"3.7830","3.7838","3.7838","3.7824"
11.10.2018,"3.7812","3.7565","3.7858","3.7159"
10.10.2018,"3.7555","3.7163","3.7687","3.7109"
09.10.2018,"3.7155","3.7818","3.7911","3.7005"
08.10.2018,"3.7790","3.7275","3.7826","3.7094"
05.10.2018,"3.8413","3.8742","3.8950","3.8376"
04.10.2018,"3.8745","3.9017","3.9355","3.8732"
03.10.2018,"3.9015","3.9415","3.9415","3.8220"
02.10.2018,"3.9414","4.0186","4.0188","3.9058"
01.10.2018,"4.0181","4.0500","4.0633","4.0037"
28.09.2018,"4.0491","4.0147","4.0580","3.9898"
27.09.2018,"4.0123","4.0343","4.0553","3.9665"
26.09.2018,"4.0322","4.0792","4.0945","4.0095"
25.09.2018,"4.0757","4.0893","4.1418","4.0682"
24.09.2018,"4.0928","4.0656","4.0975","4.0362"
21.09.2018,"4.0516","4.0770","4.0958","4.0278"
20.09.2018,"4.0771","4.1273","4.1311","4.0671"
19.09.2018,"4.1315","4.1631","4.1762","4.0976"
18.09.2018,"4.1604","4.1342","4.1651","4.1174"
17.09.2018,"4.1324","4.1744","4.2041","4.1159"
14.09.2018,"4.1742","4.2063","4.2105","4.1579"
13.09.2018,"4.2077","4.1616","4.2101","4.1244"
12.09.2018,"4.1579","4.1528","4.1677","4.1106"
11.09.2018,"4.1535","4.0864","4.1798","4.0864"
10.09.2018,"4.0867","4.0679","4.1280","4.0524"
07.09.2018,"4.0597","4.0597","4.0597","4.0597"
06.09.2018,"4.0590","4.1448","4.1658","4.0357"
05.09.2018,"4.1466","4.1570","4.1863","4.1119"
04.09.2018,"4.1602","4.1566","4.1908","4.1375"
03.09.2018,"4.1590","4.0926","4.1606","4.0916"
31.08.2018,"4.0556","4.1486","4.1776","4.0532"
30.08.2018,"4.1495","4.1057","4.2150","4.1029"
29.08.2018,"4.1074","4.1389","4.1647","4.1016"
28.08.2018,"4.1342","4.0797","4.1475","4.0617"
27.08.2018,"4.0775","4.1055","4.1144","4.0470"
24.08.2018,"4.1020","4.1146","4.1326","4.0720"
23.08.2018,"4.1155","4.0418","4.1284","4.0408"
