"Data"      ,"Ultimo","Abertura","Maxima","MInima"
"20.09.2019","10.198","10.303"  ,"10.340","10.105"
"19.09.2019","10.301","10.185"  ,"10.417","9.655"
"18.09.2019","10.185","10.214"  ,"10.278","10.111"
"17.09.2019","10.214","10.290"  ,"10.308","10.171"
"16.09.2019","10.295","10.321"  ,"10.399","10.100"
"15.09.2019","10.322","10.381"  ,"10.402","10.287"
"14.09.2019","10.379","10.374"  ,"10.478","10.256"
"13.09.2019","10.374","10.452"  ,"10.475","10.170"
"12.09.2019","10.452","10.174"  ,"10.488","10.065"
"11.09.2019","10.175","10.121"  ,"10.297","9.866"
"10.09.2019","10.122","10.317"  ,"10.399","9.961"
"09.09.2019","10.318","10.417"  ,"10.542","10.118"
"08.09.2019","10.415","10.489"  ,"10.599","10.257"
"07.09.2019","10.488","10.305"  ,"10.581","10.305"
"06.09.2019","10.317","10.582"  ,"10.933","10.218"
"05.09.2019","10.578","10.593"  ,"10.663","10.483"
"04.09.2019","10.590","10.642"  ,"10.841","10.411"
"03.09.2019","10.641","10.401"  ,"10.766","10.300"
"02.09.2019","10.388","9.783"   ,"10.473","9.754"
"01.09.2019","9.779" ,"9.623"   ,"9.858" ,"9.560"
"31.08.2019","9.623" ,"9.600"   ,"9.710" ,"9.472"
"30.08.2019","9.601" ,"9.509"   ,"9.710" ,"9.384"
"29.08.2019","9.509" ,"9.727"   ,"9.727" ,"9.360"
"28.08.2019","9.727" ,"10.190"  ,"10.303","9.585"
"27.08.2019","10.184","10.376"  ,"10.392","10.036"
"26.08.2019","10.377","10.144"  ,"10.654","10.144"
"25.08.2019","10.132","10.162"  ,"10.349","9.881"
"24.08.2019","10.152","10.414"  ,"10.427","9.900"
"23.08.2019","10.408","10.117"  ,"10.461","10.063"
"22.08.2019","10.117","10.147"  ,"10.247","9.790"
"21.08.2019","10.146","10.795"  ,"10.825","9.880"
"20.08.2019","10.793","10.947"  ,"10.986","10.588"
"19.08.2019","10.937","10.329"  ,"10.960","10.280"
"18.08.2019","10.327","10.230"  ,"10.529","10.086"
"17.08.2019","10.228","10.372"  ,"10.487","10.004"
"16.08.2019","10.366","10.324"  ,"10.568","9.783"
"15.08.2019","10.327","10.067"  ,"10.470","9.522"
